subject_id,id_geno,STG,CH,B,hour,Drug,geno,PSD,RELPSD
118160,118160_A,NR,EEG2,ALPHA,3,10mpk,A,27.662827663337996,0.1260502281151733
118160,118160_A,NR,EEG2,ALPHA,3,30mpk,A,27.378389915140293,0.12385335258920939
118160,118160_A,NR,EEG2,ALPHA,3,3mpk,A,27.508465455697085,0.1285296836607449
118160,118160_A,NR,EEG2,ALPHA,3,Baseline,A,27.474720750270485,0.13245732325410703
118160,118160_A,NR,EEG2,ALPHA,3,Vehicle,A,27.567643030260125,0.11584903388352141
118160,118160_A,NR,EEG2,ALPHA,4,10mpk,A,27.70280370178777,0.1293512226215527
118160,118160_A,NR,EEG2,ALPHA,4,30mpk,A,27.156984984603216,0.12904899855942906
118160,118160_A,NR,EEG2,ALPHA,4,3mpk,A,27.55479424972445,0.13269767374453395
118160,118160_A,NR,EEG2,ALPHA,4,Baseline,A,27.571889890001586,0.13017591322295788
118160,118160_A,NR,EEG2,ALPHA,4,Vehicle,A,27.216011747229867,0.12209323781203524
118160,118160_A,NR,EEG2,ALPHA,5,10mpk,A,27.7317809524722,0.12868790692461993
118160,118160_A,NR,EEG2,ALPHA,5,30mpk,A,27.389887784268197,0.1337233214267338
118160,118160_A,NR,EEG2,ALPHA,5,3mpk,A,27.717924232316612,0.1269720470750446
118160,118160_A,NR,EEG2,ALPHA,5,Baseline,A,27.60154215822091,0.13254904525800215
118160,118160_A,NR,EEG2,ALPHA,5,Vehicle,A,27.308723655206855,0.12767415626736445
118160,118160_A,NR,EEG2,ALPHA,6,10mpk,A,28.061681687350877,0.12950459521974436
118160,118160_A,NR,EEG2,ALPHA,6,30mpk,A,27.734158273113874,0.14041113056326626
118160,118160_A,NR,EEG2,ALPHA,6,3mpk,A,28.128064168721792,0.13273068674010055
118160,118160_A,NR,EEG2,ALPHA,6,Baseline,A,28.035860556408917,0.12892157608214455
118160,118160_A,NR,EEG2,ALPHA,6,Vehicle,A,27.71702936855215,0.12749539330953266
118160,118160_A,NR,EEG2,BETA,1,10mpk,A,24.871502425395644,0.062234351393442126
118160,118160_A,NR,EEG2,BETA,1,30mpk,A,24.663062344176254,0.07323547786604817
118160,118160_A,NR,EEG2,BETA,1,3mpk,A,25.230849603489453,0.06899406082069334
118160,118160_A,NR,EEG2,BETA,1,Baseline,A,25.778919512803373,0.08721202934080673
118160,118160_A,NR,EEG2,BETA,1,Vehicle,A,24.785211096957127,0.06362829497238352
118160,118160_A,NR,EEG2,BETA,2,10mpk,A,25.917444332903102,0.0748670302113977
118160,118160_A,NR,EEG2,BETA,2,30mpk,A,25.477859544045025,0.07526354662215506
118160,118160_A,NR,EEG2,BETA,2,3mpk,A,25.413784668143233,0.07667288071901637
118160,118160_A,NR,EEG2,BETA,2,Baseline,A,25.593807839709918,0.08643882255171653
118160,118160_A,NR,EEG2,BETA,2,Vehicle,A,25.676231884649773,0.06236392064380726
118160,118160_A,NR,EEG2,BETA,3,10mpk,A,25.73822807973886,0.08061000157447235
118160,118160_A,NR,EEG2,BETA,3,30mpk,A,25.437287281565226,0.07868302282614222
118160,118160_A,NR,EEG2,BETA,3,3mpk,A,25.6364378733014,0.08257292923417682
118160,118160_A,NR,EEG2,BETA,3,Baseline,A,25.74031116088425,0.08845340145736716
118160,118160_A,NR,EEG2,BETA,3,Vehicle,A,25.632219347667156,0.07350318780270616
118160,118160_A,NR,EEG2,BETA,4,10mpk,A,25.781050213714288,0.08252529531087778
118160,118160_A,NR,EEG2,BETA,4,30mpk,A,25.30509090340286,0.08370127398269517
118160,118160_A,NR,EEG2,BETA,4,3mpk,A,25.599225195733933,0.0836437997150906
118160,118160_A,NR,EEG2,BETA,4,Baseline,A,25.812355290660076,0.08613945937223388
118160,118160_A,NR,EEG2,BETA,4,Vehicle,A,25.3203875154432,0.07789669892919202
118160,118160_A,NR,EEG2,BETA,5,10mpk,A,25.927796948743012,0.08365948025742585
118160,118160_A,NR,EEG2,BETA,5,30mpk,A,25.489448030848383,0.08556844956173915
118160,118160_A,NR,EEG2,BETA,5,3mpk,A,26.076505113784528,0.0866269619846346
118160,118160_A,NR,EEG2,BETA,5,Baseline,A,25.959064251141317,0.09020492709102525
118160,118160_A,NR,EEG2,BETA,5,Vehicle,A,25.449133683614317,0.08269050430349975
118160,118160_A,NR,EEG2,BETA,6,10mpk,A,26.32307269486461,0.0862797839723603
118160,118160_A,NR,EEG2,BETA,6,30mpk,A,25.7989958492939,0.08945376704841514
